source_id,RA_deg,ra_error,Dec_deg,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor,duplicated_source
1433143209861937664,260.3040326659557,0.057351086,57.73342704542159,0.056384493,0.6840437231689346,0.058140177,-39.3837180105793,0.07471113,5.664900185196068,0.08386521,,,86.13764962632028,34.59808245885407,17.315674,17.804527,16.671068,1.1334591,0.96274686,992.6946,1.2244788,False
1433143244221676160,260.27160990960624,0.07921838,57.73476412404259,0.077581055,0.5217616158458511,0.08289047,-2.278938055622338,0.101804025,-1.222209181893019,0.110808164,,,86.14043248501105,34.61529112599651,17.81638,18.453558,17.067703,1.3858547,0.9988265,1457.1599,1.2421179,False
1433143454674923264,260.2622542166648,0.021117724,57.747034715427304,0.021210153,1.05594055755137,0.02216254,1.2622908465468163,0.026095672,-6.162521139705828,0.029994402,,,86.15565702535972,34.619594786303324,15.485206,15.944274,14.870494,1.0737801,0.9732407,893.1078,1.2166378,False
1433143519098219904,260.26548497308073,0.09553028,57.75400427441457,0.095511235,0.7512350383008864,0.10396168,-12.271937347438685,0.1132303,-11.063273490497911,0.13368243,,,86.16399601249302,34.61748490149709,18.216722,19.078123,17.347569,1.7305546,1.0827315,820.8427,1.2653154,False
1433143656538539904,260.3179439831831,0.1871805,57.75272537387272,0.19129926,2.1461950595977357,0.19937791,8.137605691803074,0.22770719,0.9603922070813236,0.2771238,,,86.16056164650135,34.58960837806455,19.262321,20.739262,18.033333,2.7059288,0.9957605,,1.491667,False
1433143660833356160,260.3145653437061,0.03342511,57.7565730723573,0.034252573,0.8337895243463957,0.034953948,-3.901988903154178,0.040651765,-0.1375393631135044,0.049591444,,,86.1653489374023,34.591196616123376,16.358158,16.81218,15.742694,1.0694857,1.0028372,1067.4956,1.2193662,False
1433143759616402944,260.4180213061506,0.15195139,57.778452676583875,0.14839254,0.8699522401884962,0.15682569,0.9507256429358688,0.18913645,-11.704384549587335,0.21153235,,,86.18823232904592,34.534908906073554,18.817955,19.768822,17.894184,1.8746376,1.0525669,853.9984,1.2877251,False
1433143763912457600,260.4024280987014,0.05818163,57.76895321911269,0.0565583,2.615722451549103,0.059650645,14.707102505654237,0.0706227,-12.35562335544784,0.07943615,,,86.17726027636716,34.54372349268915,17.272474,18.33019,16.250818,2.0793724,1.0210862,365.5763,1.3524007,False
1433143828335886976,260.4054149916645,0.06537975,57.79199179848674,0.0637199,0.5050483404920575,0.06785016,0.4102851470431954,0.0804497,-12.070635091473527,0.089759946,,,86.20508441408627,34.540889131748955,17.511581,17.983799,16.853786,1.1300125,0.98675895,1389.3076,1.2409316,False
1433143832631934976,260.4120495545864,0.031974692,57.7963624704179,0.03351144,2.2600860165418384,0.03425543,23.232271170798455,0.0402602,24.089059555949408,0.046779606,,,86.21015031982633,34.53712190289515,16.190422,17.000273,15.309352,1.6909208,1.0407073,,1.2916085,False
