times,F_nu
1201.67,0.004517698390205455
1206.68,0.004483334344877655
1211.68,0.004450113899130218
1216.69,0.004415597149108804
1221.7,0.004381007297772034
1226.7,0.004345563355828476
1231.71,0.004309931370140744
1236.72,0.0042774831286748315
1241.72,0.0042424222650465
1246.73,0.0042074082753093085
1251.74,0.004172668569987319
1256.75,0.004137536591530608
1261.75,0.004101786397584849
1266.76,0.004065837180542202
1271.77,0.004030891789092027
1276.77,0.0039965622060452646
1281.78,0.003960869511249754
1286.79,0.003924924874867918
1291.79,0.0038899806709901596
1296.8,0.0038545374030607344
1301.81,0.0038188218836370256
1306.82,0.0037828095824165497
1311.82,0.0037462439756325034
1316.83,0.003710188017617194
1321.84,0.003673011468721283
1326.84,0.003636662225300802
1331.85,0.0036015001561286652
1336.86,0.0035648172985819765
1341.86,0.0035294258015978884
1346.87,0.003492706618052989
1351.88,0.003457544822029207
1356.88,0.0034163604573126654
1361.89,0.0033832955637098042
1366.9,0.0033481987413910503
1371.91,0.0033132197283276973
1376.91,0.003277306489772554
1381.92,0.003241561706774117
1386.93,0.0032045533659187686
1391.93,0.0031679629066947417
1396.94,0.003132209754240956
1401.95,0.003096031071821201
1406.95,0.003059760722010656
1411.96,0.0030230050507084986
1416.97,0.0029883720425155965
1421.97,0.002953067916820514
1426.98,0.0029178740240205984
1431.99,0.002880385348910024
1437.0,0.002844422304230522
1442.0,0.002809700888296584
1447.01,0.002773092254417358
1452.02,0.002740087327848759
1457.02,0.0027060373812051834
1462.03,0.002670508383959598
1467.04,0.0026369691713095866
1472.04,0.0026028832294593897
1477.05,0.0025682337165870983
1482.06,0.00253316124689518
1487.07,0.002498655975699485
1492.07,0.002465867857336628
1497.08,0.0024322455619999648
1502.09,0.0024001209289291076
1507.09,0.0023676169468080997
1512.1,0.0023336300906751
1517.11,0.0023010461249435062
1522.11,0.0022672867521270268
1527.12,0.0022341854241117133
1532.13,0.0022084551501903482
1537.13,0.0021759361631853024
1542.14,0.0021445328504475286
1547.15,0.002114940118635009
1552.16,0.0020838843178292957
1557.16,0.002054610717079407
1562.17,0.002026006027109651
1567.18,0.0019980901413834814
1572.18,0.0019690493824780315
1577.19,0.0019398944951450744
1582.2,0.001911648230781909
1587.2,0.0018835694424444989
1592.21,0.001856216308884715
1597.22,0.0018283785578511978
1602.23,0.0018008615124794221
1607.23,0.001773096099901291
1612.24,0.0017482872919016494
1617.25,0.0017239208642359052
1622.25,0.0017001882292635175
1627.26,0.0016760744487873162
1632.27,0.0016506530499996721
1637.27,0.001627687440203672
1642.28,0.001603202274765037
1647.29,0.0015803260903144466
1652.29,0.0015587954013179008
1657.3,0.0015369098227029107
1662.31,0.0015159388531654685
1667.32,0.0014961417445202997
1672.32,0.001475033685052758
1677.33,0.0014548699272497326
1682.34,0.0014356380197995096
1687.34,0.0014162934092866813
1692.35,0.0013976553924414602
1697.36,0.0013804954606838385
1702.36,0.0013631305776490756
1707.37,0.0013474951316757803
1712.38,0.001331230951922506
1717.39,0.001314377093360416
1722.39,0.0012984147582908068
1727.4,0.0012827266190305788
1732.41,0.0012693795501770514
1737.41,0.0012568811939437635
1742.42,0.0012443968487310685
1747.43,0.001232163419706023
1752.43,0.0012196873527369992
1757.44,0.0012079415547119406
1762.45,0.0011971936559262372
1767.45,0.0011863105499683676
1772.46,0.0011753090051908588
1777.47,0.001164551587676126
1782.48,0.001153865338719333
1787.48,0.0011458422102176209
1792.49,0.0011379195277667281
1797.5,0.001130175364880924
1802.5,0.0011239158842788674
1807.51,0.0011169136369910894
1812.52,0.0011057571258197602
1817.52,0.0011008919786043795
1822.53,0.0010968025665107524
1827.54,0.0010926796881341842
1832.55,0.0010890352331468242
1837.55,0.001084050751998653
1842.56,0.0010791174281392269
1847.57,0.001076258773061558
1852.57,0.0010727253437751113
1857.58,0.0010711289043990346
1862.59,0.0010695027921569305
1867.59,0.0010678968221793951
1872.6,0.001066073344117761
1877.61,0.0010654488016177339
1882.61,0.0010654057300665478
1887.62,0.0010662946679893732
1892.63,0.0010648356511571376
1897.64,0.0010654042679790767
1902.64,0.0010684604991562747
1907.65,0.0010697978801570665
1912.66,0.0010723309664575362
1917.66,0.001076555199041092
1922.67,0.0010804625753748625
1927.68,0.0010841606327774717
1932.68,0.0010871331438266532
1937.69,0.001093441239909329
1942.7,0.001099642005408032
1947.71,0.0011057047091677444
1952.71,0.001112540194739378
1957.72,0.0011198694738743195
1962.73,0.0011284473933830914
1967.73,0.0011379021068677873
1972.74,0.0011474698722543696
1977.75,0.0011564955816875397
1982.75,0.001166186482905153
1987.76,0.0011768929387620014
1992.77,0.001186448782612155
1997.77,0.0012031203601979034
2002.78,0.0012160643401834255
2007.79,0.0012311327139089545
2012.8,0.0012444943699348825
2017.8,0.0012600233510162795
2022.81,0.0012757826994966302
2027.82,0.0012908362471223144
2032.82,0.0013076457510172081
2037.83,0.0013266113504178862
2042.84,0.0013457125541552891
2047.84,0.0013644483588756192
2052.85,0.0013845266832644564
2057.86,0.0014043021424854682
2062.87,0.0014251513048321924
2067.87,0.0014473458626431553
2072.88,0.0014696175606143792
2077.89,0.0014923460668869494
2082.89,0.0015151526063601074
2087.9,0.0015391385753552845
2092.91,0.0015648770685597019
2097.91,0.0015908413866177044
2102.92,0.0016174647881295199
2107.93,0.0016440301024052294
2112.93,0.0016705126662929478
2117.94,0.0016993344241963107
2122.95,0.0017246866742646693
2127.96,0.0017552867673078694
2132.96,0.0017858535949279715
2137.97,0.001816628248498563
2142.98,0.0018482960137675163
2147.98,0.0018806541005600345
2152.99,0.0019131979429255392
2158.0,0.0019464846488961146
2163.0,0.001980655667921727
2168.01,0.0020143254293753764
2173.02,0.0020479724244825636
2178.03,0.0020827408938296176
2183.03,0.0021171656457246364
2188.04,0.0021533177644510195
2193.05,0.0021899466516992453
2198.05,0.0022277061877528114
2203.06,0.0022656033608451976
2208.07,0.0023042423045784048
2213.07,0.0023428278051868656
2218.08,0.002374619035083605
2223.09,0.002418524132423958
2228.09,0.0024606555262148724
2233.1,0.0025021005636234614
2238.11,0.0025434770071576626
2243.12,0.002585297644198674
2248.12,0.00262865448428004
2253.13,0.002670797922952797
2258.14,0.002714463165109762
2263.14,0.0027567911132205065
2268.15,0.0027972871394884658
2273.16,0.0028409658398924737
2278.16,0.002886197738262612
2283.17,0.00293223720222837
2288.18,0.0029767698965422707
2293.18,0.0030219363832502074
2298.19,0.0030679393278165105
2303.2,0.003112926083239487
2308.21,0.0031591334603715006
2313.21,0.00320570627409213
2318.22,0.003251338465821477
2323.23,0.003297999227685765
2328.23,0.0033444202135394785
2333.24,0.0033917540057790663
2338.25,0.0034395918502905403
2343.25,0.003487454748716443
2348.26,0.003534310348278764
2353.27,0.0035836640125703986
2358.28,0.0036314857618379667
2363.28,0.0036797132754597906
2368.29,0.0037280710494512963
2373.3,0.0037768658360663983
2378.3,0.0038254157758006095
2383.31,0.0038738864879731484
2388.32,0.003922847012948027
2393.32,0.003971444487483868
2398.33,0.00402073094062907
2403.34,0.0040698736198848335
2408.34,0.0041190218943807175
2413.35,0.004168338654800629
2418.36,0.004217433657438765
2423.37,0.004266584284153139
2428.37,0.0043151913290037
2433.38,0.0043632231001667614
2438.39,0.004411265772834817
2443.39,0.0044613146217380795
2448.4,0.004510872605725738
2453.41,0.004560236340822819
2458.41,0.004607415504702968
2463.42,0.004656454885581343
2468.43,0.004705797832570251
2473.44,0.004756689660816559
2478.44,0.004804950709340922
2483.45,0.004853428078738032
2488.46,0.004901922905108175
2493.46,0.004949958234671749
2498.47,0.0049975687526121184
2503.48,0.005045512353211938
2508.48,0.0050924703578526685
2513.49,0.005138797213035218
2518.5,0.005185921352082176
2523.5,0.005232865805962742
2528.51,0.005280274873357111
2533.52,0.005327753809199416
2538.53,0.00537451689130565
2543.53,0.005420900594602733
2548.54,0.005467903571416224
2553.55,0.0055146951498088615
2558.55,0.005560187343540479
2563.56,0.005605449930445832
2568.57,0.005640379687320708
2573.57,0.005689833087429187
2578.58,0.0057366571382137755
2583.59,0.00578181555103692
2588.6,0.005826400899284935
2593.6,0.005870905103589971
2598.61,0.00591357267556596
2603.62,0.0059565090423088244
2608.62,0.0059984154391295825
2613.63,0.006039461943060167
2618.64,0.006078079153429072
2623.64,0.0061199231329321785
2628.65,0.0061623598844692705
2633.66,0.006203418589928985
2638.66,0.0062433812745462
2643.67,0.006283816699061114
2648.68,0.006322995509744068
2653.69,0.006359273032693563
2658.69,0.00639676069537384
2663.7,0.00643281113528582
2668.71,0.006465712885472928
2673.71,0.006503259194036713
2678.72,0.00653894745810553
2683.73,0.006574343172058118
2688.73,0.006608444558973161
2693.74,0.006641450225184474
2698.75,0.006679109612564411
2703.76,0.006715138456952519
2708.76,0.006751270379699961
2713.77,0.006789747534715333
2718.78,0.006828631032675862
2723.78,0.006867651307097452
2728.79,0.006905942350176311
2733.8,0.006943956154191395
2738.8,0.0069813653371887125
2743.81,0.0070171784654302115
