source_id,RA_deg,RA_error,Dec_deg,Dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor
1.43E+18,260.4495181,0.013014725,57.69214956,0.013964602,0.253007813,0.013801556,-6.551855601,0.01589357,-8.02793516,0.018577041,-98.92555,2.7218838,86.08254072,34.52269378,14.036644,14.539807,13.372974,1.1668329,1.0033704,,1.2319257
1.43E+18,259.3970616,0.012192279,58.14605669,0.012498263,1.796970094,0.013017296,7.294479384,0.015329433,-19.57311729,0.0157344,-3.5770304,0.7227946,86.67697378,35.05197474,11.684133,11.91697,11.296889,0.62008095,1.0050293,,1.1865656
1.43E+18,260.4439094,0.012332833,57.66866418,0.013117211,1.463143481,0.013287479,-3.005035495,0.016083563,6.328647118,0.017842108,-20.918755,2.751891,86.05426358,34.52691332,14.050806,14.445104,13.501238,0.9438658,1.0052152,668.2662,1.2026664
1.43E+18,259.9308558,0.015567866,58.32657357,0.019660134,0.752172148,0.017048731,3.72780793,0.01974487,2.778691996,0.027474074,-5.110598,6.620111,86.87230453,34.7589139,14.37896,14.700828,13.894289,0.8065386,1.0064894,1247.804,1.1969453
1.43E+18,259.6731792,0.010487735,57.79721324,0.010871675,1.687678574,0.011188879,10.78695457,0.013143229,-19.98614429,0.015018851,-47.936005,2.232714,86.23977184,34.93012922,13.111755,13.384803,12.672772,0.7120304,1.0104696,569.1577,1.1946372
1.43E+18,260.1464971,0.014411257,57.59781717,0.013995132,0.822903663,0.014765671,8.803851707,0.018656539,-20.39831638,0.020393308,-67.614044,4.3571577,85.978733,34.68971479,14.442259,14.747682,13.969999,0.7776823,1.0107096,1391.0653,1.1976972
1.43E+18,259.8621718,0.010763579,57.98917386,0.011549678,1.01957346,0.011517534,-2.673617615,0.013482992,7.921810478,0.014287582,-55.9498,0.13883601,86.46530036,34.81741701,9.472818,10.106177,8.712829,1.3933487,1.0122833,992.4979,1.2523259
1.43E+18,259.7974354,0.014099307,57.71208483,0.014173502,1.076656751,0.014074189,-0.669790888,0.0180683,-5.415066938,0.017913511,12.964977,4.2522144,86.13103043,34.86939916,14.249012,14.583962,13.75181,0.83215237,1.0146991,884.8582,1.1981229
1.43E+18,259.4574839,0.016734269,58.33257951,0.016839957,0.920663427,0.018069047,-6.467298537,0.021494737,8.466998802,0.021919128,-66.43725,6.605673,86.90123789,35.00638593,14.652996,15.002435,14.137667,0.864768,1.0159756,1026.478,1.2022648
1.43E+18,259.7131717,0.014088728,57.72541512,0.013001293,0.629671355,0.014420023,-3.092687574,0.015621923,-2.479578858,0.01757816,-0.046939746,5.884603,86.15070982,34.91347215,13.885274,14.184008,13.428717,0.755291,1.0163186,,1.1917437
