           7          14  0.303935289    
           7          15  0.298256248    
           7          16  0.293138087    
           7          17  0.287606269    
           7          18  0.281413943    
           7          19  0.274788409    
           7          20  0.270269781    
           8           1  0.506608307    
           8           2  0.502372444    
           8           3  0.498130858    
           8           4  0.493898630    
           8           5  0.489664435    
           8           6  0.485416442    
           8           7  0.481142312    
           8           8  0.476588368    
           8           9  0.469083726    
           8          10  0.460656524    
           8          11  0.452123851    
           8          12  0.443442374    
           8          13  0.434554577    
           8          14  0.425389528    
           8          15  0.416691542    
           8          16  0.408948004    
           8          17  0.400592864    
           8          18  0.391256154    
           8          19  0.381288528    
           8          20  0.374530435    
           9           1  0.698619843    
           9           2  0.692248821    
           9           3  0.685877502    
           9           4  0.679524779    
           9           5  0.673174143    
           9           6  0.666807711    
           9           7  0.660407245    
           9           8  0.653602839    
           9           9  0.642508745    
           9          10  0.630085886    
           9          11  0.617525518    
           9          12  0.604764581    
           9          13  0.591720402    
           9          14  0.578290820    
           9          15  0.565615118    
           9          16  0.554439723    
           9          17  0.542398810    
           9          18  0.528962314    
           9          19  0.514641345    
           9          20  0.504956961    
          10           1  0.940274596    
          10           2  0.931102157    
          10           3  0.921938241    
          10           4  0.912807226    
          10           5  0.903684914    
          10           6  0.894546092    
          10           7  0.885364354    
          10           8  0.875619352    
          10           9  0.859848797    
          10          10  0.842227459    
          10          11  0.824432552    
          10          12  0.806375682    
          10          13  0.787942052    
          10          14  0.768989205    
          10          15  0.751140833    
          10          16  0.735456884    
          10          17  0.718579292    
          10          18  0.699771047    
          10          19  0.679758310    
          10          20  0.666272819    
          11           1   1.24174964    
          11           2   1.22895145    
          11           3   1.21617603    
          11           4   1.20345354    
          11           5   1.19075036    
          11           6   1.17803144    
          11           7   1.16526031    
          11           8   1.15171790    
          11           9   1.12986624    
          11          10   1.10548317    
          11          11   1.08088779    
          11          12   1.05595946    
          11          13   1.03054178    
          11          14   1.00444138    
          11          15  0.979954481    
          11          16  0.958578289    
          11          17  0.935600758    
          11          18  0.910023689    
          11          19  0.882849455    
          11          20  0.864619672    
